region,Mín. de codregion,Cuenta de Magnitudes,Promedio de Magnitudes,Mín. de Magnitudes,Máx. de Magnitudes
Región de Antofagasta,2,515,4.650291262,2.8,7.4
Región de Arica y Parinacota,15,139,4.665467626,3,7.1
Región de Atacama,3,381,4.362204724,2.6,7
Región de Aysén del Gral.Ibañez del Campo,11,2,5.05,5,5.1
Región de Coquimbo,4,1233,4.377047851,2.9,8.4
Región de La Araucanía,9,17,4.641176471,3.8,6.4
Región de Los Lagos,10,42,4.39047619,3.1,7.6
Región de Los Ríos,14,33,4.054545455,2.8,6.2
Región de Magallanes y Antártica Chilena,12,8,5.075,3.8,7.5
Región de Ñuble,16,24,4.383333333,2.8,5.6
Región de Tarapacá,1,836,4.454665072,2.8,8.2
Región de Valparaíso,5,388,4.221134021,2.7,6.9
Región del Bío-Bío,8,142,4.423239437,2.7,6.3
Región del Libertador Bernardo O'Higgins,6,84,4.536904762,2.7,6.6
Región del Maule,7,100,4.474,2.6,6.8
Región Metropolitana de Santiago,13,74,4.347297297,2.3,5.7
Suma total,1,4018,4.428944749,2.3,8.4